month,region,product,nps,csat
2024-09,India,OmniRetail,46,4.42
2024-09,India,FulfillPro,54,4.07
2024-09,India,RoboPick,47,4.07
2024-09,EMEA,OmniRetail,37,3.94
2024-09,EMEA,FulfillPro,46,4.53
2024-09,EMEA,RoboPick,38,3.83
2024-09,Americas,OmniRetail,52,3.53
2024-09,Americas,FulfillPro,42,4.46
2024-09,Americas,RoboPick,50,4.29
2024-10,India,OmniRetail,46,3.98
2024-10,India,FulfillPro,51,4.15
2024-10,India,RoboPick,36,3.98
2024-10,EMEA,OmniRetail,36,4.11
2024-10,EMEA,FulfillPro,45,4.75
2024-10,EMEA,RoboPick,34,4.03
2024-10,Americas,OmniRetail,51,4.82
2024-10,Americas,FulfillPro,49,4.0
2024-10,Americas,RoboPick,37,3.36
2024-11,India,OmniRetail,39,4.14
2024-11,India,FulfillPro,46,4.35
2024-11,India,RoboPick,39,3.81
2024-11,EMEA,OmniRetail,44,5.0
2024-11,EMEA,FulfillPro,43,4.16
2024-11,EMEA,RoboPick,43,3.87
2024-11,Americas,OmniRetail,51,3.47
2024-11,Americas,FulfillPro,44,3.98
2024-11,Americas,RoboPick,40,3.31
2024-12,India,OmniRetail,53,4.27
2024-12,India,FulfillPro,54,4.75
2024-12,India,RoboPick,36,3.1
2024-12,EMEA,OmniRetail,48,3.99
2024-12,EMEA,FulfillPro,38,4.33
2024-12,EMEA,RoboPick,52,4.06
2024-12,Americas,OmniRetail,49,3.7
2024-12,Americas,FulfillPro,36,4.47
2024-12,Americas,RoboPick,43,3.91
2025-01,India,OmniRetail,55,3.39
2025-01,India,FulfillPro,40,3.88
2025-01,India,RoboPick,38,4.69
2025-01,EMEA,OmniRetail,42,4.02
2025-01,EMEA,FulfillPro,37,4.53
2025-01,EMEA,RoboPick,31,3.59
2025-01,Americas,OmniRetail,41,4.17
2025-01,Americas,FulfillPro,42,4.38
2025-01,Americas,RoboPick,38,4.52
2025-02,India,OmniRetail,48,4.82
2025-02,India,FulfillPro,45,4.44
2025-02,India,RoboPick,30,5.0
2025-02,EMEA,OmniRetail,46,3.98
2025-02,EMEA,FulfillPro,43,4.0
2025-02,EMEA,RoboPick,49,4.46
2025-02,Americas,OmniRetail,41,3.6
2025-02,Americas,FulfillPro,54,4.44
2025-02,Americas,RoboPick,44,4.07
2025-03,India,OmniRetail,43,4.77
2025-03,India,FulfillPro,58,4.36
2025-03,India,RoboPick,46,4.19
2025-03,EMEA,OmniRetail,33,3.71
2025-03,EMEA,FulfillPro,51,4.61
2025-03,EMEA,RoboPick,44,4.24
2025-03,Americas,OmniRetail,50,4.08
2025-03,Americas,FulfillPro,50,4.02
2025-03,Americas,RoboPick,33,4.45
2025-04,India,OmniRetail,52,5.0
2025-04,India,FulfillPro,49,3.68
2025-04,India,RoboPick,39,4.05
2025-04,EMEA,OmniRetail,42,4.29
2025-04,EMEA,FulfillPro,47,4.41
2025-04,EMEA,RoboPick,39,3.21
2025-04,Americas,OmniRetail,45,4.13
2025-04,Americas,FulfillPro,50,3.96
2025-04,Americas,RoboPick,41,4.32
2025-05,India,OmniRetail,44,4.37
2025-05,India,FulfillPro,48,4.16
2025-05,India,RoboPick,23,3.64
2025-05,EMEA,OmniRetail,35,4.19
2025-05,EMEA,FulfillPro,52,4.05
2025-05,EMEA,RoboPick,43,4.36
2025-05,Americas,OmniRetail,44,4.33
2025-05,Americas,FulfillPro,48,4.04
2025-05,Americas,RoboPick,42,4.68
2025-06,India,OmniRetail,47,4.19
2025-06,India,FulfillPro,42,4.67
2025-06,India,RoboPick,32,3.42
2025-06,EMEA,OmniRetail,44,3.75
2025-06,EMEA,FulfillPro,51,3.43
2025-06,EMEA,RoboPick,43,4.43
2025-06,Americas,OmniRetail,44,3.26
2025-06,Americas,FulfillPro,36,4.2
2025-06,Americas,RoboPick,38,4.39
2025-07,India,OmniRetail,44,4.04
2025-07,India,FulfillPro,33,4.43
2025-07,India,RoboPick,37,3.94
2025-07,EMEA,OmniRetail,35,3.48
2025-07,EMEA,FulfillPro,53,4.42
2025-07,EMEA,RoboPick,42,4.01
2025-07,Americas,OmniRetail,33,4.94
2025-07,Americas,FulfillPro,49,4.15
2025-07,Americas,RoboPick,37,3.28
2025-08,India,OmniRetail,51,3.68
2025-08,India,FulfillPro,51,4.41
2025-08,India,RoboPick,43,4.29
2025-08,EMEA,OmniRetail,50,3.78
2025-08,EMEA,FulfillPro,45,4.01
2025-08,EMEA,RoboPick,26,4.21
2025-08,Americas,OmniRetail,51,4.65
2025-08,Americas,FulfillPro,58,3.39
2025-08,Americas,RoboPick,49,4.17
